Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Gambia, The",GMB,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.8,48.3,49.9,51.5,53,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4,66.9,..
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.2,10.8703,12.4492,14,15.56,17.6,19.9,22.5,28.3,31.1183,34.2172,37.6247,44.0389,45.9137,..
"Gambia, The",GMB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.167,61.561,61.9,62.252,62.576,62.971,63.386,63.708,64.034,64.427,64.418,63.847,64.859,65.86,..
"Gambia, The",GMB,"School enrollment, primary (% gross)",SE.PRM.ENRR,73.4599827384096,72.1906633471926,75.4592652374635,77.5318910077468,80.6712752410406,83.6767800021667,85.4968152866242,88.6915742090233,91.4803276676529,95.0965771907399,96.8827026600674,96.3235417651704,97.2781723362608,98.7359670428779,98.6058833319274
"Gambia, The",GMB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,45.5351409912109,..,..,..,..,..,..,..,..,..,..,107.027125590442,..,..,..
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.662,56.384,57.105,57.82,58.528,59.228,59.918,60.599,61.27,61.931,62.582,63.222,63.852,64.472,65.08
"Gambia, The",GMB,Trade (% of GDP),NE.TRD.GNFS.ZS,41.0125150279466,42.6397020468894,47.7006731141985,45.4619193623296,58.2579307752264,44.5223730803813,38.1140879565948,55.7335796090833,64.8124640003735,55.9979116186993,47.3955201736291,42.0979827971754,44.7219215522334,42.4360025095476,43.7388373481181
"Gambia, The",GMB,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,13.8767105275043,12.8961682852301,20.8771686494917,14.7115331277791,16.6526122015212,20.3498140429739,24.919934192266,22.9597266827213,20.8784242569263,24.6538431612228,32.34205468872,30.3707902499395,28.6236492170476,27.2873451192374,38.9851868411235
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.723,10.283,10.346,9.454,8.218,7.26,6.285,5.157,4.127,4.538,5.892,6.269,6.076,6.479,6.496
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.24640865303363,7.9343365253078,6.57883101954195,5.13288531209382,4.09049059581743,3.35102350265353,3.45021517996871,5.15990261658827,6.062036412677,5.38071926589951,-6.2904717853839,10.6442336580969,10.9585321385624,7.83220126555726,9.42857220157775
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,3281.72930937343,4119.66818307193,4530.69533409431,4712.00229382665,4830.33486170249,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,9193.66366361489
Georgia,GEO,"Population, total",SP.POP.TOTL,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3712502,3715483,3673850
Georgia,GEO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.76179333360622,2.5149199962616,1.86033999919891,2.8330966857175,2.94113947736272,3.10870368877345,3.52338004112244,3.52442002296448,3.46094989776611,3.82985997200012,3.80951130708125,3.59441995620727,3.75498008728027,3.70918011665344,3.98011682083814
Georgia,GEO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.93945503,7.82405472,7.8538909,7.73560286,7.75487041,7.29130507,7.839849,6.95936155,6.99180031,6.59411573,8.34160137,8.3153286,7.25569582,..,..
Georgia,GEO,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,99.9,100,100,100,100,100,..
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.9,31.52,36.94,43.3,49.1025,47.5698,58.4593,59.7055,62.7179,68.8467,72.5316,76.4427,78.7113,81.8843,..
Georgia,GEO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.732,72.485,72.672,73.025,73.105,73.241,73.136,73.435,73.985,74.165,73.509,71.635,74.141,74.496,..
Georgia,GEO,"School enrollment, primary (% gross)",SE.PRM.ENRR,107.155245895564,107.761952206271,109.651399821348,110.575228390453,109.976680992118,107.800106850779,104.042509897438,102.937767734127,100.786840229187,101.236423646202,100.779530049426,101.286441127535,102.727831178351,100.887260863464,99.3560206839885
Georgia,GEO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,107.038832287684,105.757088910744,106.764155546761,107.779901789534,109.523203664239,111.616827005361,111.900853903077,108.06699476725,106.201856681079,103.710205488304,103.183588288651,100.959315536762
